,risk_gene,MUT_TYPE,q_value,empirical_q_value,PMID,NUMBER_OF_ARTICLES,neighbor_gene,neighbor_is_lit_validated,neighbor_PMID,neighbor_NUMBER_OF_ARTICLES,neighbor_PMIDs
193,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,SRC,True,17961551,1.0,17961551
198,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,CCND1,True,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",25.0,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350"
204,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,BRCA1,True,"11807777, 12810651, 14574011, 14647419, 14689060, 15105900, 15300854, 16466850, 17321670, 18325101",10.0,"11807777, 12810651, 14574011, 14647419, 14689060, 15105900, 15300854, 16466850, 17321670, 18325101"
206,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,SMAD3,True,"12161532, 16407850, 16596245, 16788944, 16837618, 18426913",6.0,"12161532, 16407850, 16596245, 16788944, 16837618, 18426913"
208,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,UCHL1,True,15239400,1.0,15239400
209,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,ETS1,True,18485796,1.0,18485796
210,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,CDK1,True,"11272092, 15645429, 16525614",3.0,"11272092, 15645429, 16525614"
211,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,CHEK1,True,16888677,1.0,16888677
212,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,RB1,True,"12377414, 14586645, 15083191, 15975525, 16623759, 17258495, 18087199, 18403638, 18447972",9.0,"12377414, 14586645, 15083191, 15975525, 16623759, 17258495, 18087199, 18403638, 18447972"
215,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,AKT1,True,"12532415, 14581353, 15896313, 16002527, 16778075, 17974918",6.0,"12532415, 14581353, 15896313, 16002527, 16778075, 17974918"
217,CDKN2B,DELETION,6.9978781731841745e-279,0.0204120113119102,"12632081, 17673925",2.0,CDKN2A,True,"11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,"11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807"
220,CDKN2B,DELETION,6.9978781731841745e-279,0.0204120113119102,"12632081, 17673925",2.0,CDK6,True,"11453659, 12097237, 12480548, 16952836, 17177999, 17635577, 18438866",7.0,"11453659, 12097237, 12480548, 16952836, 17177999, 17635577, 18438866"
221,CDKN2B,DELETION,6.9978781731841745e-279,0.0204120113119102,"12632081, 17673925",2.0,CDK4,True,"11180160, 11564579, 11854069, 12212108, 12429646, 12447651, 12539309, 12747978, 16027075, 16248248, 17139501, 17340131, 17477349, 17487385",14.0,"11180160, 11564579, 11854069, 12212108, 12429646, 12447651, 12539309, 12747978, 16027075, 16248248, 17139501, 17340131, 17477349, 17487385"
222,CDKN2B,DELETION,6.9978781731841745e-279,0.0204120113119102,"12632081, 17673925",2.0,SMAD2,True,"11410498, 12499250, 16407850, 16478646, 16596245, 16788944, 16837618, 17217620",8.0,"11410498, 12499250, 16407850, 16478646, 16596245, 16788944, 16837618, 17217620"
